Company Name,Address,PO Box,Phone,Fax,Email,Website,Business Activity
Artlink Interior Decoration LLC,"Unit – 3705, The Citadel Tower, Business bay, Duba",128300,04-2767404,04-2767404,artlinkint@gmail.com,http://,"Interior Designing, Fit-out, Flooring, Painting, Gypsum and Fit-out Permissions"
Artlink Interior Decoration LLC,"Unit – 3705, The Citadel Tower, Business bay, Duba",128300,04-2767404,04-2767404,artlinkint@gmail.com,http://,"Interior Designing, Fit-out, Flooring, Painting, Gypsum and Fit-out Permissions"
Ashtaar Interior Design & Gen Maint LLC,Dubai – Al Quoz,37611,04-3380780,04-3380870,, ,Interior Decorators
Ashtaar Interior Design & Gen Maint LLC,Dubai – Al Quoz,37611,04-3380780,04-3380870,, ,Interior Designers & Consultants
Ateliar 21,Dubai,50797,04-3474752,04-3479559,,,Interior Designers & Consultants
Atelier 21,Dubai – Al Quoz,50797,04-3474752,04-3479559,,www.atelier.co.ae,Interior Designers & Consultants
Auspic,"Office Suite 312, The Galleries 1, JA Downtown, Du",334496,+971 4 423 3621,971 4 423 3621,auspic121@gmail.com,http://auspic.ae,"Interior Design, Interior Fit Out Companies In Dubai"
Auspic,"Office Suite 312, The Galleries 1, JA Downtown, Du",334496,+971 4 423 3621,+971 4 423 3621,auspic121@gmail.com,http://auspic.ae,"Interior Design Company In Dubai, Office Fit Out Companies In Dubai"
Auspic LLC,"Office 312, The galleries 1, Jebel Ali Downtown",334496,044233621,044233621,info@auspic.ae,http://auspic.ae,"Interior Designing, General Maintenance, IT Solutions, Cleaning Service"
Avenue,Abu Dhabi,322,02-6740402,02-6745670,,www.masaood.com,Interior Designers & Consultants
Avenues Interior Design,Dubai – Deira,97934,04-2728813,04-2728803,, ,Interior Designers & Consultants
Axis Gen Maint & Decor LLC,Dubai,26959,04-3470482,04-3470501,,,Interior Designers & Consultants
Ayala International LLC,Dubai – Bur Dubai,49848,04-3377362,04-3373002,, ,Interior Designers & Consultants
Aysar Decor Co. LLC,Sharjah,20197,06-5685779,06-5685399,,,Interior Designers & Consultants
BAHA INTERIOR DESIGN (L.L.C),Dubai,49795,04-3333443,04-3333566,,,Partitions & False Ceilings Contracting
BAHA INTERIOR DESIGN (L.L.C),Dubai,49795,04-3333443,04-3333566,,,Painting Contracting
BAHA INTERIOR DESIGN (L.L.C),Dubai,49795,04-3333443,04-3333566,,,Carpentry & Flooring Contracting
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Metal Blinds Trading
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Office Furniture Trading
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Curtains & Upholstery Fabrics Trading
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Home Furniture Trading
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Domestic Kitchen Trading
BIID BEST. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Carpets Trading
BIID BEst. ITALIAN INTERIOR DESIGN,Dubai,73424,04-3291844,04-3291855,,,Interior Decoration
BIN SABA & JORDAN INTERIOR DESIGN & GENERAL MAINTE,Dubai,14188,04-2284400,04-2285522,,,Interior Decoration
BIN SABA & JORDAN INTERIOR DESIGN & GENERAL MAINTE,Dubai,14188,04-2284400,04-2285522,,,General Maintenance
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Landscaping Works
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Engraving & Ornamentaion Works
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Carpentry & Flooring Contracting
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Painting Contracting
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Partitions & False Ceilings Contracting
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Interior Decoration
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Insulation Contracting
BLANCH INTERIOR DESIGN (L.L.C),Dubai,53202,04-2288821,04-2288826,,,Floor & Wall Tiling Works
BLANCH INTERIOR DESIGN DECORATION LLC,Dubai,42242,04-3408333,04-3475454,,www.blanchdubai.com,Exhibition Stands – Designers & Manufacturers
BLUE CAMEL DESIGN (L.L.C),Dubai,102728,04-3248008,04-3245885,,,Interior Decoration
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,"Air-Condition, Refrigeration Equipment Maintenance & Repair"
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,"Electronic Instruments, Devices & Equipment Repair"
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,Floor & Wall Tiling Works
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,Partitions & False Ceilings Contracting
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,Plumbing & Sanitary Contracting
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,Painting Contracting
BLUE DREAM INTERIOR DESIGN,Dubai,3930,04-2723408,04-2725213,,,Electric Household Appliances Repair & Maintenance
BOND INTERIOR DESIGN (L.L.C),Dubai,15758,04-2711727,04-2713797,,,Interior Decoration
BOSTON INTERIOR DESIGNS (L.L.C),Dubai,32339,04-3473231,04-3473383,,www.bostoninteriors.net,Interior Decoration
BOSTON INTERIOR DESIGNS LLC,Dubai – Al Quoz,32339,04-3473231,04-3473383,,www.bostoninteriors.net,Exhibition Stands – Designers & Manufacturers
BRIGHT ARROWS INTERIOR DESIGNS,Dubai,31773,04-3977132,04-3977133,,,Interior Decoration
BRIGHT ARROWS INTERIOR DESIGNS,Dubai,31773,04-3977132,04-3977133,,,Building Maintenance
BRIGHT MARK INTERIOR DESIGN (L.L.C),Dubai,39861,04-2727074,04-2276335,,,Building Maintenance
BRUCE HENDERSON ARCHITECTS PTY. LTD.,Dubai-Jebel Ali,,,,,,"Architecture, Urban Design & Planning and Interior Design (for Nakeel Projects only)"
Babak Zaker Interior Designer,Dubai,35813,04-2856040,,, ,Interior Decorators
Badri & Bensouda Arch & Engg Consultants,Dubai,53383,04-3318800,04-3317799,,,Interior Designers & Consultants
BafCo. Trading LLC,Dubai,15556,04-3350045,04-3366236,,www.bafco.com,Interior Designers & Consultants
Baha Interior Design LLC,Dubai,50750,04-3333566,04-2996932,, ,Interior Decorators
Baituti Designs,Dubai – Deira,1038,04-2289204,04-2289214,,www.baitutidesigns.com,Interior Decorators
Baituti Designs LLC,Dubai,1038,04-2289204,04-2289214,,www.baitutidesigns.com,Interior Designers & Consultants
Baituti Interiors,Dubai – Al Quoz,1038,04-3380745,04-3380754,,www.binhendi.com,Interior Designers & Consultants
Baituti Interiors LLC,Dubai,1038,04-3380745,04-3380754,,www.baitutiinteriorsbinhudi.com,Interior Designers & Consultants
Bamboo Al Khaleej Furniture Factory LLC,Sharjah,4306,06-5436816,06-5436810,,,Interior Designers & Consultants
Bawadikji interior decoration,"P.O.Box 333687 Dubai , Downtown , The Metropolis t",333687,0097143609992,+971 4 4539858,info@bawadikji.net,http://bawadikji.net/,"We are doing full interior design (Hotels , villas , apartments & shops ) We have Curtains , Wallpap"
Bekas Investment,Dubai,35744,04-2952955,04-2952374,,,Interior Designers & Consultants
Bella Decoration Interior Design LLC,Dubai,112666,04-3422099,04-3422009,,www.belladecoration.com,Interior Decorators
Bello Interior Design Company,"Office 1602, 16th Floor Binary Tower, Business Bay",26498,971 04 513 9894,971 04 513 9895,angelica@bellointerior.com,http://http://www.bellointerior.com/,"Interior Design,Design Fit out, furniture"
Benzer Concepts,Dubai,119393,04-3977237,04-3969907,,www.spxglobal.com,Interior Designers & Consultants
Benzer Concepts,Dubai,119393,04-3977237,04-3969907,,www.spxglobal.com,Interior Designers & Consultants
Bhati Decor Co. LLC,Dubai,,050-6334264,,,,Interior Designers & Consultants
Bihan General Contracting | ????? ????????? ??????,"Shabiya 10, Musafah",294392,026662455,026662455,support@bihan-contracting.com,https://www.bihan-contracting.com/,"?????????,General contracting,building maintenance,construction,architectural design,interior design"
Bin Al Kendi Interior Design,Al Ain ,80077,03-7669923,03-7669924,, ,Interior Decorators
Bin Hadi Decor LLC,Dubai – Karama,1745,04-3969933,04-3969922,,www.salanhadi.com,Interior Designers & Consultants
Bin Saba & Jordan Group,Dubai,14188,04-2284400,04-2285522,,,Interior Designers & Consultants
Bin Saeed Carpentry,Dubai – Hor Al Anz,93982,04-2689894,04-2687862,, ,Interior Designers & Consultants
Blanch Interior Design Decoration LLC,Dubai,42242,04-3408333,04-3475454,,www.blanchdubai.com,Interior Decorators
Blanch Interior Design Decoration LLC,Dubai,42242,04-3408333,04-3475454,,www.blanchdubai.com,Interior Designers & Consultants
Blanch Interior Design Decoration LLC,Dubai,42242,04-3408333,04-3408666,,www.blanchdubai.com,Interior Decorators
Blinds and Curtains in Dubai,"Po Box 172640, Showroom # 3, Plot 368-435, Umm Suq",172640,+97143408771,172640,poojan.kssservices@gmail.com,http://fatin.ae,Interior Design
Blinds and Curtains in Dubai,"Po Box 172640, Showroom # 3, Plot 368-435, Umm Suq",172640,+97143408771,172640,poojan.kssservices@gmail.com,http://fatin.ae,Interior Design
Blue Blue Land Decor,Dubai – Bur Dubai,45300,04-3594412,04-3594412,, ,Interior Designers & Consultants
Blue Camel Design,Dubai,102728,04-3248008,04-3245885,,www.bluecamel.net,Interior Designers & Consultants
Blue Camel Design,Dubai,102728,04-3248008,04-3245885,,www.bluecamel.net,Interior Decorators
Blue Camel Interior Design & Contracting,Dubai,102728,04-3248008,04-3245885,,www.bluecamel.net,Interior Decorators
Blue Point Decor,Abu Dhabi,7185,02-6333105,02-6331006,,,Interior Designers & Consultants
Bluehaus LLC,Dubai – Bur Dubai,49439,04-3527141,04-3528161,,www.bluehaus.ae,Interior Designers & Consultants
Bluehaus LLC,Dubai,49439,04-3527141,04-3528161,,www.bluehaus.ae,Interior Designers & Consultants
Bohmler International,Dubai – Garhoud,49996,04-2868787,04-2868718,,www.bohmler.de,Interior Designers & Consultants
Bond Interior Design,Sharjah- Industrial Area 11,3543,06-5343222,06-5340404,,www.handinteriors.com,Interior Decorators
Bond Interior Designing,Sharjah,26079,06-5343222,06-5340404,,www.bondinteriors.com,Interior Decorators
Boston Interior Designs LLC,Dubai – Al Quoz,32339,04-3473231,04-3473383,,www.bostoninteriors.net,Interior Decorators
Boston Interior Designs LLC,Dubai,32339,04-3473231,04-3473383,,www.bostoninteriors.net,Interior Designers & Consultants
Bower and Puffer Design and Decor,"Suite 19, Al Wahda Commercial Tower, Abu Dhabi, UA",130860,0097126435185,0097126435185,bryan@bowerandpuffer.com,http://www.bowerandpuffer.com,"Curtains, Wallpaper, Interior Design, Architecture, Decor"
Breathe Design,Dubai – Karama,34806,04-3341227,04-3340988,,www.breathebranding.com,Interior Designers & Consultants
Breathe Design LLC,Dubai,34806,04-3341227,04-3340988,,www.breathebranding.com,Interior Designers & Consultants
Breeze Deco,Sharjah,23212,06-5439597,06-5439598,,,Interior Designers & Consultants
Breeze International LLC,Sharjah- Industrial Area 6,23212,06-5439597,06-5439598,,www.breezeinternational.net,Interior Designers & Consultants
Brewer Smith & Brewer Gulf – Chartered Architects,Dubai – Deira,50667,04-2228935,04-2284596,,www.bsbgulf.com,Interior Designers & Consultants
Build Force LLC,Dubai,80699,04-2688981,04-2688984,,www.bforce.ae,Interior Designers & Consultants
Buraq Architect Design,Al Ain ,15529,03-7666446,03-7666316,, ,Interior Designers & Consultants
CARPE DIEM,Dubai-Dubai Media City,,04-3444734,04-3443664,,,Furniture Retail & Interior Design
CASA DELL INTERIOR DESIGN (L.L.C),Dubai,102940,,,,,Interior Decoration
"CCG – Creative Concepts Group Interior Design, fit","Flat No. 1 , First Floor, Eisa Al Khaily (AADC) Bu",84329,+971506732533,+97137216305,ccguae2006@gmail.com,http://ccguae.com,"Company, CCG ,CCGUAE, Creative ,Concepts ,Interior ,Design ,InteriorDesign ,Decoration ,Decor ,Fit"
CERCLE D ART LLC,Dubai,30056,04-2826655,04-2826151,,,INTERIOR DECORATORS Interior design consultants & turnkey projects.
CITY SPACE INTERIOR DESIGN WORKSHOP,Dubai,52827,04-3330510,04-3511030,,,Interior Decoration
CLASS DESIGN,Dubai,29529,04-3355353,04-3352333,,,Interior Decoration
CLASSIC DESIGN & INTERIORS,Sharjah-Sharjah Airport International Free Zone,8775,04-3383666,04-3386006,,,Manufacturing of Furnitures & Joinery
CLASSIC DESIGN INTERIORS,Dubai,13907,04-3383666,04-3386006,,,Interior Decoration
CLASSIC DESIGN INTERIORS FZE,Sharjah-Hamriyah Free Zone,,,,,,Manufacturing of Wood finishings and Aluminum Joinery.
CLASSIC DESIGN INTERIORS FZE,Sharjah-Hemriyah Free Zone,42578,,,,,Manufacturing of Wood finishings and Aluminum Joinery.
CLASSIC DESIGNS & INTERIORS,Dubai,13907,04-3383666,04-3386006,,,Carpenters & Joiners
COMATRA INTERNATIONAL DESIGN & DECORATION (L.L.C),Dubai,121420,04-2944419,04-2940056,,,Interior Decoration
CONCEPT ZONE INTERIOR DESIGN & EXHIBITION FIXTURES,Dubai,11119,04-3332803,04-3334813,,,Exhibition Stand Fitting & Execution
CONCEPT ZONE INTERIOR DESIGN & EXHIBITION FIXTURES,Dubai,11119,04-3332803,04-3334813,,,Interior Decoration
CONCETP ZONE,"Techno Park, Jebel Ali Dubai, United Arab Emirates",261235,+971 (4) 886 7600/1,971 (4) 886 7766,sales@conceptszone.net,http://view-source:http://www.conceptszone.net/,"Exhibition Stand Design Dubai,Building Materials Dubai,Interior Design Dubai"
CONSOLIDATED ENGINEERING CO. (KHATIB & ALAMI),Dubai,5091,04-2222203,04-2281014,,www.khatibalami.com,Interior Design Engineering Services
CONTRACT DESIGN,Sharjah,24666,06-5621111,06-5620222,,,Gypsum Interior Decorators
CONTRAST INTERIOR DESIGN (L.L.C),Dubai,14881,04-2628000,04-2972000,,www.contrastinterior.com,Insulation Contracting
CONTRAST INTERIOR DESIGN (L.L.C),Dubai,14881,04-2628000,04-2972000,,www.contrastinterior.com,Interior Decoration
CONTRAST INTERIOR DESIGN (L.L.C),Dubai,14881,04-2628000,04-2972000,,www.contrastinterior.com,Building Maintenance
COSMIC INTERIOR DESIGN SERVICES,Dubai,10237,04-2668040,04-2668040,,,Carpentry & Flooring Contracting
COSMIC INTERIOR DESIGN SERVICES,Dubai,10237,04-2668040,04-2668040,,,Partitions & False Ceilings Contracting
COSMIC INTERIOR DESIGN SERVICES,Dubai,10237,04-2668040,04-2668040,,,Plumbing & Sanitary Contracting
COSMIC INTERIORS,Dubai,84629,04-2673023,04-3341031,, ,Exhibition Stands – Designers & Manufacturers
CRE 8 TIVE DESIGN (L.L.C),Dubai,13334,,,,,Interior Decoration
CREATIVE LINES INTERIORS,Abu Dhabi,35396,02-6818277,02-6818377,,,Decor Design And Execution
CREATIVE TECHNICAL SERVICES LLC,UMM AL QUWAIN,4751,0097167670335,0097167670336,sales@ctsllcdubai.com,http://www.ctsllcdubai.com,"TOILET CUBICLES, HPL LOCKERS, BENCHES, KITCHEN CABINETS, INTERIOR DESIGN WORKS."
CREATIVE TECHNICAL SERVICES LLC,UMM AL QUWAIN,4751,0097167670335,0097167670336,sales@ctsllcdubai.com,http://www.ctsllcdubai.com,"TOILET CUBICLES, HPL LOCKERS, BENCHES, KITCHEN CABINETS, INTERIOR DESIGN WORKS."
CUBICS DESIGN & DECOR (L.L.C),Dubai,32876,04-3356422,04-3356411,,www.cubicsdesign.com,Interior Decoration
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,"Building Contracting (Ground, Mezzanine & 1 Floor)"
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,Partitions & False Ceilings Contracting
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,Floor & Wall Tiling Works
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,Plumbing & Sanitary Contracting
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,Insulation Contracting
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,General Maintenance
CYGNET INTERIORS DESIGN (L.L.C),Dubai,78364,04-3380223,04-2856674,,,Carpentry & Flooring Contracting
CYGNET INTERIORS DESIGNS LLC,Dubai – Jaddaf,78364,04-3241785,04-3241968,, ,Maintenance Services
CYGNET INTERIORS DESIGNS LLC,Dubai – Jaddaf,78364,04-3241785,04-3241968,, ,Building Contractors
Cad Space Interior Design,Dubai,184479,04-2959860,04-2959861,,www.cadspaceuae.com,Interior Decorators
Cadd Interior Design,Dubai – Deira,27791,04-2959290,04-2959293,, ,Interior Designers & Consultants
Carpe Diem LLC,Dubai – Jumeirah,9080,04-3444734,04-3443664,,www.carpegulf.com,Interior Designers & Consultants
Casa Mia,Dubai – Bur Dubai,50081,04-3554450,04-3552709,, ,Interior Designers & Consultants
Casa Mia Interior Design,Dubai,50081,04-3554450,04-3552709,,,Interior Decorators
Casabella Interior Design & Contg,Abu Dhabi,54800,02-6711100,02-6712077,,www.casabella-id.com,Interior Decorators
Cassia & Assoc,Abu Dhabi ,3147,02-6274642,02-6274262,,www.cassia.cc,Interior Designers & Consultants
Cassia & Associates,Abu Dhabi,3147,02-6274642,02-6274262,,www.cassia.cc,Interior Designers & Consultants
Central Designs,Abu Dhabi ,46282,02-6454989,02-6459360,,www.central-design.com,Interior Designers & Consultants
Central Designs,Abu Dhabi,46282,02-6446428,02-6459360,,www.central-design.com,Interior Decorators
Cercle D’Art LLC,Dubai,30056,04-2826655,04-2826151,, ,Interior Designers & Consultants
Cercle D’Art LLC,Dubai,30056,04-2826655,04-2826151,,,Interior Designers & Consultants
Cinmar Design,Dubai,408,04-3406161,04-3400868,, ,Interior Designers & Consultants
City Palace Furniture Interiors & Joiners,Dubai,2875,04-3474497,04-3474498,,,Interior Designers & Consultants
"City Palace Furniture, Interiors & Joiners",Dubai – Al Quoz,2875,04-3474497,04-3474498,, ,Interior Designers & Consultants
City Space,Dubai – Bur Dubai,50866,04-3511199,04-3511030,,www.cityspacegulf.com,Interior Designers & Consultants
Cityspace,Dubai,50866,04-3511199,04-3511030,,www.cityspacegulf.com,Interior Designers & Consultants
Classic Designs & Interiors,Dubai – Al Quoz,13907,04-3383666,,, ,Interior Decorators
Classic Designs & Interiors,Dubai,13907,04-3383666,04-3386006,,,Interior Decorators
Classic Touch Turnkey Solution LLC,Dubai,103593,04-3403645,04-3403542,,,Interior Designers & Consultants
Closets Unlimited,"Closets Unlimited Interior Designers LLC.  1303, A",334148,+97143994080,+97143994080,ijaz@closetsunlimited.ae,http://www.closetsunlimited.ae,"Interior design, Furniture, Custom Closets, Closets, Wardrobes,"
Comfort Decorations,Dubai,93143,04-2659779,04-2659778,, ,Interior Designers & Consultants
Contract Design,Sharjah,24666,06-5621111,06-5620222,,,Interior Designers & Consultants
Contract Design,Sharjah,24666,06-5621111,06-5620222,,,Interior Decorators
Contrast Interior Design,Dubai,14881,04-2628000,04-2972000,,www.contrastinteriors.com,Interior Decorators
Contrast Interior Design & Decoration LLC,Dubai – Deira,14881,04-2628000,04-2972000,,www.contrastinterior.com,Interior Designers & Consultants
Contrast Interior Design & Decoration LLC,Dubai – Deira,14881,04-2628000,04-2972000,,www.contrastinterior.com,Interior Decorators
Contrast Interior Design LLC,Dubai – Deira,14881,04-2628000,04-2972000,,www.contrastinterior.com,Interior Decorators
Coral Supplies & Interiors LLC,Dubai,24538,04-2625261,04-2664630,, ,Interior Designers & Consultants
Creatis,Dubai,25148,04-3353400,04-3351477,, ,Interior Designers & Consultants
Creatis LLC,Dubai,25148,04-3353400,04-3351477,,www.creatis.ae,Interior Designers & Consultants
Creative Channel Events & Exhibitions,Shk Zayed Road,73310,0553018553,04 3328810,prasanth@creative-channel.com,http://creative-chjannel.com,"Exhibitions stand designing, production and installation, carpentry, interior designing and decorati"
Creative Concepts Interior Design & Decoration,P.O.Box 64439,84329,+97137216304,37216304,creative2006@eim.ae,,Interior Design & Decoration
Creative House Contracting,"Office #215, RKM Building, Hor Al Anz East",123230,042627171,042626966,marketing@chcuae.com,http://,"Project & Facility Management, Interior Design and Development Design, MEP Installations, HVAC, Ele"
Creative Kitchen & Restaurant Concepts Ltd,Dubai – Sh Zayed Road,53842,04-3438271,04-3438373,,www.creativekitchenrc.com,Interior Designers & Consultants
Creative Line Decor Cont,Sharjah,44487,06-5341031,06-5347305,,,Interior Designers & Consultants
Creative Line Decor Contracting,Sharjah ,44487,06-5341031,06-5347305,, ,Interior Designers & Consultants
Creative Lines Interiors,Abu Dhabi- Corniche,3904,02-6818277,02-6818377,,www.aecuae.com,Interior Designers & Consultants
Creative Wardrobes,Dubai,86279,04-2671141,04-2671158,,www.cw.ae,Interior Designers & Consultants
Cubics Design & Decor,Dubai – Zabeel,32876,04-3356422,04-3356411,,www.cubicsdesign.com,Interior Decorators
Cubics Design & Decor,Dubai – Zabeel,32876,04-3356422,04-3356411,,www.cubicsdesign.com,Interior Designers & Consultants
Cubics Design & Decor LLC,Dubai,32876,04-3356422,04-3356411,,www.cubicsdesign.com,Interior Decorators
Cubics Design & Decor LLC,Dubai,32876,04-3356422,04-3356411,,www.cubicsdesign.com,Interior Designers & Consultants
D N A DESIGN (L.L.C),Dubai,40020,04-3211133,04-3211144,,,Interior Decoration
DAMOONI INTERIOR DESIGN,Abu Dhabi,28274,02-6674947,02-6674957,,,Onshore And Offshore Gas And Oil Installations And Fields Services
DAMOONI INTERIOR DESIGN,Abu Dhabi,28274,02-6674947,02-6674957,,,Decor Design And Execution
DAR AL ARAB GENERAL MAINTENANCE & INTERIOR DESIGN,Dubai,21621,04-2247247,,,,Building Cleaning Services
DAR AL ARAB GENERAL MAINTENANCE & INTERIOR DESIGN,Dubai,21621,04-2247247,,,,Interior Decoration
DAR AL ARAB GENERAL MAINTENANCE & INTERIOR DESIGN,Dubai,21621,04-2247247,,,,General Maintenance
DAR AL NOOR INTERIOR DESIGN (L.L.C),Dubai,64925,04-2676466,04-2676465,,,Interior Decoration
DAR AL NOOR INTERIOR DESIGN (L.L.C),Dubai,64925,04-2676466,04-2676465,,,Painting Contracting
DAR AL NOOR INTERIOR DESIGN (L.L.C),Dubai,64925,04-2676466,04-2676465,,,Engraving & Ornamentaion Works
DECODI FURNITURE & INTERIOR DESIGN (L.L.C),Dubai,62153,04-3355732,04-3342732,,,Office Furniture Trading
DECODI FURNITURE & INTERIOR DESIGN (L.L.C),Dubai,62153,04-3355732,04-3342732,,,Interior Decoration
DECODI FURNITURE & INTERIOR DESIGN (L.L.C),Dubai,62153,04-3355732,04-3342732,,,Home Furniture Trading
DECODI FURNITURE & INTERIOR DESIGN LLC,Dubai,62153,04-3355732,04-3342732,,,Furniture Dealers – Retail
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,53714,04-2860568,04-3445958,,,Construction Chemicals
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,53714,04-2860568,04-3445958,,,Building Materials
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,22870,,,,,Building Maintenance
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,53714,04-2860568,04-3445958,,,Coating – Protective
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,22870,,,,,Interior Decoration
DECOLINE CONSTRUCTION & INTERIOR DESIGN,Dubai,22870,,,,,"Building Contracting (Ground, Mezzanine & 1 Floor)"
DECOWOOD INTERIOR DESIGN,Dubai,27601,04-2852582,04-2852508,,,Furniture Manufacturers’ Equipment & Accessories
DEE ART DESIGN (L.L.C),Dubai,12905,,,,,Interior Decoration
DEKA INTERIORS DESIGN (L.L.C),Dubai,251957,04-2231696,04-2284570,,,Metal Parts & Fixtures Contracting
DEKA INTERIORS DESIGN (L.L.C),Dubai,251957,04-2231696,04-2284570,,,Cladding Works
DEKA INTERIORS DESIGN (L.L.C),Dubai,251957,04-2231696,04-2284570,,,Floor & Wall Tiling Works
DEKA INTERIORS DESIGN (L.L.C),Dubai,251957,04-2231696,04-2284570,,,Painting Contracting
DEKA INTERIORS DESIGN (L.L.C),Dubai,251957,04-2231696,04-2284570,,,Engraving & Ornamentaion Works
DELMA INTERIORS,Abu Dhabi,4358,02-6265959,02-6265991,,,Decor Design And Execution
DESERT OASIS NTERIOR DESIGN,Dubai,20442,04-2260225,,,,Interior Decoration
DESIGN CLUB (L.L.C),Dubai,50220,04-3981011,04-3980441,,,Interior Decoration
DESIGN CLUB LLC,Dubai,50220,04-3981011,04-3980441,,,"INTERIOR DECORATORS Specialists in polyester & polyurethane, interior works."
DESIGN CONCEPT STUDIO INTERIOR DESIGNERS,Abu Dhabi,726,02-6655269,02-6668016,,,Decor Design And Execution
DESIGN CONCEPTS,Dubai,24465,04-2220432,04-2216854,,,INTERIOR DECORATORS Architectural interior designers.
DESIGN DESGIN L L C – AL AIN BRANCH,Al Ain,34156,,,,,Interior Electric Wiring Works
DESIGN DESIGN (L.L.C),Dubai,34156,04-3976181,04-3978166,,,Interior Decoration
DESIGN DIVA (L.L.C),Dubai,118255,04-3476507,04-3476508,,,Interior Decoration
DESIGN DIVISION,Dubai,7581,04-3474747,04-3472744,,www.designdivision.net,Interior Decoration
DESIGN GROUP (L.L.C),Dubai,28191,04-3322255,04-3322324,,,Interior Decoration
DESIGN GROUP INTERNATIONAL (L.L.C),Dubai,90845,04-2828204,04-2828257,,,Interior Decoration
DESIGN LAB,Dubai,74274,04-3366621,04-3379500,,,Interior Decoration
DESIGN LINE DECOR,Dubai,30877,04-3558035,04-3558541,,,Interior Decoration
DESIGN ONE (L.L.C),Dubai,32989,04-3247324,04-3242899,,,Interior Decoration
DESIGN PALACE DECOR,Dubai,62402,04-2972726,04-2977127,,,Interior Decoration
DESIGN PEOPLE (L.L.C),Dubai,37630,04-3477731,04-3476634,,www.designpeopledubai.com,Interior Decoration
DESIGN PEOPLE LLC,Dubai,37630,04-3477731,04-3476634,,,"INTERIOR DECORATORS Supply of exclusive design, furniture & accessories."
DESIGNERS SPACE,Dubai,37116,,,,,Interior Decoration
DIAMENSIONS INTERIOR DECORATIONS COMPANY – W L L,Abu Dhabi,32815,02-6769255,02-6769255,,,Decor Design And Execution
DIJLAH INTERIOR DESIGN BUREAU,Al Ain,80272,03-7512135,03-7511188,,,Decor Design And Execution
DONE DESIGN DECOR,Dubai,20069,,,,,Interior Decoration
DRA PRODUCT DESIGN INDUSTRY,Dubai-Jebel Ali,,,,,,"Metal Fabrication, Joinery and Fixing of Interior Decoration Products"
DRA PRODUCT DESIGN INDUSTRY,Dubai-Jebel Ali,,,,,,"Metal Fabrication, Joinery and Fixing of Interior Decoration Products"
DRA PRODUCT DESIGN INDUSTRY,Dubai-Jebel Ali,,,,,,"Metal Fabrication, Joinery and Fixing of Interior Decoration Products"
DREAM LINE INTERIOR DESIGN (L.L.C),Dubai,86845,04-2292527,04-2292528,,,Interior Decoration
DREAMWEAVERS INTERIOR DESIGN,Murraqabat Street Dubai,128798,(+971) 55 6889 507,( +971) 04 2555 921,dreamweaversuae@gmail.com,http://dreamweaversuae.com,DREAMWEAVERS INTERIOR DESIGN
